title;platform;genre;audience_score;critics_score;img
Criminal Minds;paramount_plus;crime;85;NA;https://resizing.flixster.com/SbhLb11qKVqhf8DA1OZQ1r2WmQ0=/206x305/v2/https://resizing.flixster.com/EwcS-gge8ekz9Uh3oUUmV8v_oCY=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvOGIxZGZiZDAtZjU3Ni00NmZlLTgwM2ItOTBiODQyYTg4MmJlLmpwZw==
NCIS;paramount_plus;crime;85;NA;https://resizing.flixster.com/qiS4XCItSEzF0qT3HpkOK_67dGc=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p184930_b_v12_ae.jpg
Limitless;paramount_plus;crime;85;58;https://resizing.flixster.com/QxfYOaEJ7ZrUpsYkw4xz7D-IT68=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p11779145_b_v8_ab.jpg
Flashpoint;paramount_plus;crime;85;NA;https://resizing.flixster.com/fCWggheUBrlo_ebeqfKqJj5Os6Y=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p186582_b_v10_am.jpg
The Legend of Korra;paramount_plus;action;79;89;https://resizing.flixster.com/uuesNxgBPHvKPiLYY53-q2mHtgY=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p9157227_b_v8_aw.jpg
NCIS: Hawai'i;paramount_plus;action;79;NA;https://resizing.flixster.com/PQrnYo26_CHnuikqjnYRc27NGKA=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p20016027_b_v13_ar.jpg
Scorpion;paramount_plus;action;79;61;https://resizing.flixster.com/cfGSTSkTEi3M4srddjIrHMP-zcY=/206x305/v2/https://resizing.flixster.com/AtODwriDthnfUvsBr54DSiQfzYo=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvUlRUVjIxODE3OS53ZWJw
MacGyver;paramount_plus;action;78;NA;https://resizing.flixster.com/C1XQ0CZ-fSwmTfAkv2eLYwn1uKw=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p183939_b_v8_aa.jpg
CSI: Vegas;paramount_plus;action;77;NA;https://resizing.flixster.com/MSuYHwwFN22EqguGX-1zRGBDcV4=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p19760113_b_v13_ag.jpg
S.W.A.T.;paramount_plus;action;68;NA;https://resizing.flixster.com/IVw55ZR6h6tZsuOb57mi9UNcfE8=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p14158903_b_v13_ab.jpg
Survivor;paramount_plus;action;68;NA;https://resizing.flixster.com/iigczuIEDuSd24I03AwhETtbSP8=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p187348_b_v12_be.jpg
Flashpoint;paramount_plus;mystery_and_thriller;85;NA;https://resizing.flixster.com/fCWggheUBrlo_ebeqfKqJj5Os6Y=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p186582_b_v10_am.jpg
Twin Peaks: The Return;paramount_plus;mystery_and_thriller;83;94;https://resizing.flixster.com/s_X2MapIOUY5GUZpw-Lhtn6VB_A=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p13711557_b_v9_ad.jpg
Jericho;paramount_plus;mystery_and_thriller;83;54;https://resizing.flixster.com/frD3e0fh8YXFUlE-KsFyVflHnF8=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p185224_b_v8_ab.jpg
Are You Afraid of the Dark?;paramount_plus;mystery_and_thriller;83;NA;https://resizing.flixster.com/NymfhIuaWWdGw8tVmTqH-Rt9jwo=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p184202_b_v8_aa.jpg
CSI: Crime Scene Investigation;paramount_plus;mystery_and_thriller;82;NA;https://resizing.flixster.com/qRo4e6Vr8cRNnn7USUKNqbswptk=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p184657_b_v13_bx.jpg
Special Ops: Lioness;paramount_plus;mystery_and_thriller;80;56;https://resizing.flixster.com/ydAHcBRZ_s0kUD6aGp9JCrZsSag=/206x305/v2/https://resizing.flixster.com/4F4uAVrxIUR17WghPoOHsj-M148=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvNGIzYzU4ZGMtOWRiNi00ZWE2LTk5MGMtYjUxZWQ1ZDE4YWU0LmpwZw==
Ghosts of Beirut;paramount_plus;mystery_and_thriller;80;57;https://resizing.flixster.com/4ETb92TvQnwFLcmnEYJgzOaKNw8=/206x305/v2/https://resizing.flixster.com/82bi1fDtE4w0yCFKRULkEFk5Phc=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvNGVjMmNkOWUtODRhZi00ZmM3LTg0MzktY2ZmYzY5ZmM4ODEyLmpwZw==
House of Anubis;paramount_plus;mystery_and_thriller;80;NA;https://resizing.flixster.com/I5Rx_hyosdckSn1sW9i470kCyt0=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8454979_b_v8_aa.jpg
NCIS: Hawai'i;paramount_plus;mystery_and_thriller;79;NA;https://resizing.flixster.com/PQrnYo26_CHnuikqjnYRc27NGKA=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p20016027_b_v13_ar.jpg
The Borgias;paramount_plus;crime;84;85;https://resizing.flixster.com/_5k9m6hpAfLFNQ7-uHhzciONNkI=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p8563478_b_v8_ai.jpg
